"Sample","Group","Shannon","Simpson","Observed"
"SRR8146935","omnivore",2.27723095080575,0.800976827885104,527
"SRR8146936","omnivore",1.44989676975532,0.55604330913342,298
"SRR8146937","vegan",2.88156818461428,0.916443172223121,366
"SRR8146938","omnivore",2.80401071083316,0.868174979193024,838
"SRR8146939","vegan",2.90525691902099,0.900240921134981,639
"SRR8146940","vegan",1.42634418853899,0.552411755107429,296
