"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process",174,-0.53310293293336,-2.42307602320511,1e-10,6.02857142857143e-09,4.69172932330827e-09,724,"tags=37%, list=11%, signal=34%","YMR205C/YBR041W/YDR539W/YOR347C/YHR063C/YOR040W/YOL056W/YER061C/YPR128C/YGR192C/YBR006W/YIL009W/YOR100C/YER010C/YGR256W/YJR019C/YDL015C/YNR016C/YGR240C/YEL020C/YOR363C/YLR153C/YPL280W/YMR207C/YOR344C/YHR067W/YLR446W/YKR009C/YDL021W/YOR391C/YPL231W/YGL205W/YIR033W/YEL071W/YFR055W/YMR272C/YLR044C/YLR231C/YIR023W/YJR009C/YML054C/YKL182W/YDR050C/YBR196C/YOL136C/YPL075W/YJL196C/YMR170C/YLR134W/YIR031C/YMR246W/YGR254W/YCL018W/YGL253W/YHR183W/YOL002C/YKL152C/YKL060C/YHR174W/YPL095C/YAL038W/YCR012W/YGL055W/YJL052W"
"GO:0006629","GO:0006629","lipid metabolic process",355,-0.467184928518902,-2.29822122720368,1e-10,6.02857142857143e-09,4.69172932330827e-09,1627,"tags=49%, list=25%, signal=39%","YNL094W/YGL071W/YKL094W/YHR100C/YCR084C/YNR041C/YGR177C/YOR365C/YBR003W/YDR213W/YKL020C/YJR110W/YNL106C/YJL134W/YBL039C/YGR170W/YOR245C/YPL076W/YPR113W/YPL145C/YDL109C/YOL151W/YJR013W/YLR284C/YER015W/YDR319C/YML059C/YDR287W/YPL268W/YNL156C/YKL055C/YCL004W/YNL267W/YJL062W/YGR007W/YLR020C/YHL003C/YJL153C/YMR008C/YDR444W/YOR149C/YOR311C/YNL009W/YML008C/YOR081C/YPL175W/YER093C/YBR265W/YOL065C/YKL051W/YDR147W/YBR159W/YLL012W/YMR160W/YLR386W/YLR228C/YBR042C/YOR221C/YFL025C/YPL103C/YBR222C/YER125W/YLR305C/YLR088W/YGR038W/YLR459W/YDR275W/YDR072C/YIL039W/YDR434W/YCR048W/YGR046W/YHL020C/YAL051W/YJR107W/YCR044C/YPL221W/YJL083W/YAL009W/YMR220W/YNL280C/YLL031C/YOR175C/YLR347C/YJL167W/YML126C/YBR026C/YNR019W/YOR109W/YNL264C/YNL054W/YBR041W/YIL002C/YKR019C/YMR013C/YHR123W/YHR190W/YDR017C/YMR208W/YER061C/YPL031C/YPR128C/YAL053W/YER005W/YLR240W/YGR036C/YGL144C/YDR284C/YLR133W/YLR189C/YIL009W/YGL142C/YOR100C/YDL237W/YGR149W/YGL012W/YNL169C/YHR046C/YDR123C/YLR450W/YBR029C/YJR019C/YMR202W/YDL015C/YOR171C/YKL212W/YNR016C/YOR093C/YHR001W/YEL020C/YOR363C/YNL087W/YKL008C/YPR147C/YCR017C/YKR070W/YCR068W/YPL206C/YMR207C/YCL052C/YGR233C/YPL110C/YGL139W/YHR205W/YHR067W/YKR009C/YLR100W/YER043C/YNL130C/YPL231W/YGL205W/YPL028W/YIR033W/YMR272C/YGR143W/YJR066W/YNL111C/YHR072W/YPL006W/YNR043W/YKR031C/YGL001C/YKL182W/YGR175C/YGR157W/YJL196C/YLR056W/YMR246W/YHR007C/YML075C/YOL002C/YMR015C/YGR060W/YPL095C/YGL055W"
"GO:0008610","GO:0008610","lipid biosynthetic process",234,-0.49020114863809,-2.2978841705294,1e-10,6.02857142857143e-09,4.69172932330827e-09,1542,"tags=50%, list=24%, signal=40%","YBR003W/YDR213W/YKL020C/YNL106C/YJL134W/YBL039C/YGR170W/YOR245C/YPL076W/YPR113W/YOL151W/YJR013W/YDR319C/YML059C/YDR287W/YNL156C/YKL055C/YCL004W/YNL267W/YJL062W/YGR007W/YHL003C/YJL153C/YOR149C/YOR311C/YML008C/YPL175W/YER093C/YBR265W/YDR147W/YBR159W/YLR386W/YLR228C/YBR042C/YOR221C/YFL025C/YER125W/YLR305C/YLR088W/YGR038W/YLR459W/YDR072C/YIL039W/YDR434W/YGR046W/YHL020C/YCR044C/YPL221W/YAL009W/YMR220W/YNL280C/YLL031C/YOR175C/YLR347C/YJL167W/YML126C/YBR026C/YOR109W/YNL264C/YNL054W/YIL002C/YMR013C/YHR123W/YHR190W/YDR017C/YMR208W/YER061C/YPL031C/YAL053W/YLR240W/YGR036C/YLR133W/YLR189C/YGL142C/YGR149W/YGL012W/YNL169C/YHR046C/YDR123C/YLR450W/YBR029C/YMR202W/YDL015C/YOR171C/YNR016C/YKL008C/YCR017C/YKR070W/YMR207C/YCL052C/YGL139W/YHR205W/YHR067W/YLR100W/YER043C/YNL130C/YPL231W/YPL028W/YIR033W/YMR272C/YGR143W/YJR066W/YNL111C/YHR072W/YNR043W/YKR031C/YGL001C/YKL182W/YGR175C/YGR157W/YJL196C/YLR056W/YHR007C/YML075C/YMR015C/YGR060W/YPL095C/YGL055W"
"GO:0007005","GO:0007005","mitochondrion organization",205,0.539822403263768,2.26384213553365,1e-10,6.02857142857143e-09,4.69172932330827e-09,1365,"tags=45%, list=21%, signal=37%","YDR258C/YMR002W/YHL021C/YDL059C/YDR529C/YML081C-A/YJL102W/YJR120W/YOR045W/YDR322C-A/YHR005C-A/YCL057C-A/YNL055C/YLL009C/YFR004W/YDR379C-A/YNL070W/YML091C/YIL065C/YDR079W/YDR511W/YDR512C/YLR218C/YOL027C/YPL189C-A/YJR034W/YBR269C/YLR259C/YEL020W-A/YNL121C/YML129C/YIR024C/YBL059C-A/YDR296W/YJR135W-A/YBR024W/YBR262C/YFL016C/YKR016W/YLR099W-A/YLR295C/YKL137W/YPL063W/YPR133W-A/YJL062W-A/YKL053C-A/YMR012W/YBR120C/YER154W/YPR100W/YDL126C/YDR219C/YFR011C/YIL098C/YPR020W/YLR203C/YNL138W/YEL059C-A/YGL191W/YMR072W/YIR021W/YMR244C-A/YEL012W/YGL219C/YLR059C/YBR091C/YIL156W-B/YDR493W/YLR168C/YNR018W/YJR144W/YER058W/YJR080C/YMR302C/YBL022C/YLL001W/YGR235C/YPR140W/YOR211C/YGR181W/YDR231C/YJL180C/YDR381C-A/YDR393W/YLL013C/YML030W/YLR038C/YJR118C/YOL026C/YPL098C/YNL005C/YBR185C"
"GO:0006412","GO:0006412","translation",459,0.445968113011257,2.02523667412177,1e-10,6.02857142857143e-09,4.69172932330827e-09,1607,"tags=43%, list=25%, signal=35%","YDL184C/YJL102W/YMR194W/YDR500C/YML009C/YJR094W-A/YFR032C-A/YAL005C/YOR182C/YNL007C/YDR405W/YER131W/YKL138C/YBR101C/YML091C/YGR285C/YHL034C/YMR188C/YNR022C/YLR192C/YNL014W/YLR439W/YGR148C/YOL027C/YLR262C-A/YDR447C/YLR204W/YLR388W/YDL130W/YIL052C/YDL133C-A/YPL118W/YDR432W/YKL204W/YDL075W/YLR185W/YGL222C/YML129C/YBR189W/YGL173C/YGL189C/YBL038W/YNL244C/YJL136C/YJR014W/YPL249C-A/YLR287C-A/YNL255C/YBR268W/YDL202W/YJL096W/YLL018C/YGL147C/YJR113C/YBR122C/YHR010W/YLR167W/YPR166C/YMR193W/YGR169C-A/YDL045W-A/YDL081C/YJL063C/YDR429C/YMR230W/YJL189W/YJL062W-A/YNL252C/YKR085C/YJL140W/YPL237W/YGL068W/YLR325C/YMR121C/YIL051C/YJL190C/YER074W/YMR286W/YPL013C/YJR047C/YGR084C/YBR120C/YOR158W/YPR100W/YPR132W/YGR076C/YPL009C/YBR282W/YDR116C/YGR215W/YCR003W/YGR085C/YLR203C/YOR167C/YJR101W/YDR237W/YER056C-A/YER050C/YDL136W/YNL081C/YPL048W/YDL191W/YHR141C/YGR185C/YCR071C/YNL122C/YLR340W/YDR382W/YPL184C/YOR187W/YMR158W/YPR129W/YDL213C/YLR027C/YKR094C/YNL185C/YNR037C/YDR515W/YKL003C/YOL121C/YDR194C/YFR031C-A/YGL031C/YDR337W/YDR197W/YGR083C/YMR225C/YLR312W-A/YFR001W/YDR041W/YNL302C/YNL016W/YLR344W/YML025C/YER117W/YDR471W/YNL284C/YBL092W/YHR059W/YGL049C/YCR046C/YNL001W/YDR477W/YOL039W/YHR147C/YGR027C/YMR097C/YDR462W/YDR115W/YLL013C/YEL050C/YMR143W/YPL173W/YOL114C/YDL083C/YGR222W/YDR064W/YHR038W/Q0140/YIL137C/YOR293W/YPL079W/YOL120C/YKL006W/YOR369C/YPR047W/YAL035W/YDR336W/YLR069C/YNR036C/YNL005C/YBR185C/YBR251W/YDL061C/YNL096C/YNL306W/YHR015W/YDR025W/YDR494W/YPL183W-A/YEL054C/YGL110C/YML073C/YBL090W/YDL160C/YHL015W/YNL091W/YNR045W/YKR023W/YNL178W/YBL032W/YBR146W/YKR057W/YDR179C/YPR041W/YJL131C/YNL301C"
"GO:0019637","GO:0019637","organophosphate metabolic process",421,-0.383203885971446,-1.91249212091952,1e-10,6.02857142857143e-09,4.69172932330827e-09,1347,"tags=38%, list=21%, signal=32%","YMR083W/YMR323W/YNL032W/YDR287W/YPL268W/YMR096W/YFR047C/YCL004W/YNL267W/YJL062W/YGR007W/YGR061C/YJL153C/YIL083C/YMR008C/YOR149C/YOR311C/YNL009W/YDR520C/YPL175W/YKL151C/YOL065C/YDR147W/YLR354C/YEL058W/YDR400W/YLR359W/YDL185W/YCL047C/YLR386W/YBR042C/YOR393W/YFL025C/YPL103C/YFL053W/YLR305C/YLR088W/YLR459W/YDR072C/YIL039W/YDR434W/YGR046W/YBR221C/YJR133W/YHL020C/YEL029C/YHL011C/YDR315C/YGR010W/YCR044C/YDR481C/YMR120C/YPR021C/YAL009W/YMR220W/YLL031C/YOR175C/YLR347C/YJL167W/YML126C/YOL059W/YAR015W/YOR109W/YNL264C/YEL041W/YBR127C/YNL054W/YMR205C/YBR145W/YIL002C/YMR013C/YJL005W/YHR123W/YOR336W/YER099C/YOR347C/YJR051W/YHR190W/YDR017C/YMR208W/YOL056W/YJR078W/YPL031C/YOR120W/YLR410W/YER005W/YGR192C/YLR240W/YDL085W/YDR399W/YGR244C/YLR014C/YBR242W/YDR284C/YLR133W/YIL009W/YHR074W/YGL142C/YGL101W/YGR149W/YNL169C/YHR046C/YDR123C/YLR450W/YBR029C/YML070W/YGR256W/YJR019C/YMR271C/YKL212W/YOL061W/YOL055C/YNR016C/YMR315W/YGR240C/YNL087W/YJR105W/YLR153C/YCR017C/YKR070W/YCR068W/YPL206C/Q0085/YMR207C/YKL181W/YNR012W/YCL052C/YOR344C/YPL110C/YLR446W/YDL021W/YER043C/YNL130C/YCR026C/YHR202W/YNL129W/YMR272C/YLR231C/YJR009C/YNR043W/YKR031C/YDR050C/YBR196C/YOL136C/YPL075W/YGR157W/YMR303C/YMR246W/YML075C/YGR254W/YGL253W/YOL086C/YHR183W/YJL116C/YNL141W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0006793","GO:0006793","phosphorus metabolic process",498,-0.375642414445379,-1.90672920418893,1e-10,6.02857142857143e-09,4.69172932330827e-09,1347,"tags=37%, list=21%, signal=32%","YMR083W/YMR323W/YNL032W/YDR287W/YPL268W/YMR096W/YFR047C/YCL004W/YNL267W/YJL062W/YGR007W/YGR061C/YDR103W/YJL153C/YIL083C/YMR008C/YOR149C/YOR311C/YNL009W/YDR109C/YDR520C/YPL175W/YKL151C/YOL065C/YDR147W/YLR354C/YEL058W/YGR123C/YDR400W/YLR359W/YDL185W/YCL047C/YLR386W/YBR042C/YOR393W/YFL025C/YPL103C/YFL053W/YER125W/YLR305C/YLR088W/YLR459W/YDR072C/YIL039W/YDR434W/YGR046W/YBR221C/YJR133W/YHL020C/YEL029C/YHL011C/YOR270C/YDR315C/YGR010W/YCR044C/YDR481C/YNR047W/YMR120C/YPR021C/YAL009W/YMR220W/YPL019C/YLL031C/YOR175C/YLR347C/YJL167W/YPR073C/YML126C/YOL059W/YBL056W/YAR015W/YDL073W/YOR109W/YNL264C/YEL041W/YJL012C/YBR127C/YNL054W/YMR205C/YBR145W/YIL002C/YMR013C/YJL005W/YHR123W/YOR336W/YOR371C/YER099C/YOR347C/YJR051W/YHR190W/YDR017C/YMR208W/YOL056W/YOR090C/YJR078W/YPL031C/YOR120W/YFL004W/YLR410W/YER005W/YGR192C/YLR240W/YDL085W/YDR399W/YGR244C/YLR014C/YBR242W/YDR284C/YLR133W/YIL009W/YHR074W/YGL142C/YGL101W/YGR149W/YNL169C/YHR046C/YDR123C/YLR450W/YBR029C/YML070W/YGR256W/YJR019C/YMR271C/YKL212W/YOL061W/YML123C/YOL055C/YNR016C/YMR315W/YGR240C/YAL040C/YOR283W/YNL087W/YJR105W/YLR153C/YCR037C/YPL150W/YCR017C/YKR070W/YCR068W/YPL206C/Q0085/YMR207C/YKL181W/YNR012W/YCL052C/YGR233C/YOR344C/YPL110C/YLR446W/YDL021W/YML051W/YER043C/YGR052W/YNL130C/YCR026C/YHR202W/YNL129W/YMR272C/YLR231C/YJR009C/YJR066W/YNR043W/YKR031C/YDR050C/YBR196C/YOL136C/YPL075W/YGR157W/YMR303C/YMR246W/YML075C/YGR254W/YDR089W/YGL253W/YOL086C/YHR183W/YJL116C/YNL141W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0006796","GO:0006796","phosphate-containing compound metabolic process",485,-0.370000622879211,-1.87386128397706,1e-10,6.02857142857143e-09,4.69172932330827e-09,1347,"tags=37%, list=21%, signal=31%","YMR083W/YMR323W/YNL032W/YDR287W/YPL268W/YMR096W/YFR047C/YCL004W/YNL267W/YJL062W/YGR007W/YGR061C/YDR103W/YJL153C/YIL083C/YMR008C/YOR149C/YOR311C/YNL009W/YDR109C/YDR520C/YPL175W/YKL151C/YOL065C/YDR147W/YLR354C/YEL058W/YGR123C/YDR400W/YLR359W/YDL185W/YCL047C/YLR386W/YBR042C/YOR393W/YFL025C/YPL103C/YFL053W/YER125W/YLR305C/YLR088W/YLR459W/YDR072C/YIL039W/YDR434W/YGR046W/YBR221C/YJR133W/YHL020C/YEL029C/YHL011C/YDR315C/YGR010W/YCR044C/YDR481C/YNR047W/YMR120C/YPR021C/YAL009W/YMR220W/YLL031C/YOR175C/YLR347C/YJL167W/YPR073C/YML126C/YOL059W/YBL056W/YAR015W/YDL073W/YOR109W/YNL264C/YEL041W/YBR127C/YNL054W/YMR205C/YBR145W/YIL002C/YMR013C/YJL005W/YHR123W/YOR336W/YOR371C/YER099C/YOR347C/YJR051W/YHR190W/YDR017C/YMR208W/YOL056W/YOR090C/YJR078W/YPL031C/YOR120W/YLR410W/YER005W/YGR192C/YLR240W/YDL085W/YDR399W/YGR244C/YLR014C/YBR242W/YDR284C/YLR133W/YIL009W/YHR074W/YGL142C/YGL101W/YGR149W/YNL169C/YHR046C/YDR123C/YLR450W/YBR029C/YML070W/YGR256W/YJR019C/YMR271C/YKL212W/YOL061W/YOL055C/YNR016C/YMR315W/YGR240C/YAL040C/YOR283W/YNL087W/YJR105W/YLR153C/YPL150W/YCR017C/YKR070W/YCR068W/YPL206C/Q0085/YMR207C/YKL181W/YNR012W/YCL052C/YGR233C/YOR344C/YPL110C/YLR446W/YDL021W/YML051W/YER043C/YGR052W/YNL130C/YCR026C/YHR202W/YNL129W/YMR272C/YLR231C/YJR009C/YJR066W/YNR043W/YKR031C/YDR050C/YBR196C/YOL136C/YPL075W/YGR157W/YMR303C/YMR246W/YML075C/YGR254W/YGL253W/YOL086C/YHR183W/YJL116C/YNL141W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0140053","GO:0140053","mitochondrial gene expression",169,0.523663180731645,2.15641399623957,2.1408893967769e-10,1.24614527646876e-08,9.69811240354835e-09,1476,"tags=49%, list=23%, signal=38%","YJL102W/YML009C/YDR405W/YKL138C/YML091C/YMR188C/YNR022C/YMR030W/YLR439W/YOL027C/YLR204W/YPL118W/YML129C/YBL038W/YBR268W/YDL202W/YJL096W/YJR113C/YBR122C/YPR166C/YMR193W/YDL045W-A/YJL063C/YJL062W-A/YNL252C/YKR085C/YGL068W/YIL051C/YMR286W/YPL013C/YGR084C/YBR120C/YOR158W/YPR100W/YGR076C/YBR282W/YDR116C/YGR215W/YCR003W/YLR203C/YJR101W/YDR237W/YER050C/YNL081C/YCR071C/YIR021W/YNL122C/YOR187W/YMR158W/YNL185C/YNR037C/YKL003C/YDR194C/YDR337W/YDR197W/YMR225C/YLR312W-A/YDR041W/YML025C/YNL284C/YHR059W/YCR046C/YHR147C/YMR097C/YDR462W/YDR115W/YEL050C/YPL173W/YOL114C/YGR222W/YHR038W/Q0140/YPR047W/YDR336W/YLR069C/YNR036C/YBR185C/YBR251W/YNL306W/YDR494W/YPL183W-A/YBL090W"
"GO:0006082","GO:0006082","organic acid metabolic process",371,-0.376560268062546,-1.85808856815663,2.59742242471362e-10,1.46148301763886e-08,1.13739760913775e-08,739,"tags=26%, list=11%, signal=25%","YEL046C/YJL012C/YMR205C/YBR041W/YDR539W/YHR208W/YNL256W/YPL273W/YOR347C/YHR063C/YJR148W/YDL215C/YOR040W/YOL056W/YJR078W/YER061C/YPR128C/YFL004W/YGR192C/YJR024C/YIL020C/YBR006W/YML076C/YIL009W/YLL058W/YOR100C/YER010C/YKL106W/YLR351C/YML099C/YER040W/YGR256W/YJR019C/YDL015C/YML123C/YNR016C/YGR240C/YEL020C/YOR363C/YGL009C/YLR153C/YGL196W/YCR037C/YPL280W/YMR207C/YOR344C/YNL239W/YHR205W/YHR067W/YLR446W/YKR009C/YDL021W/YOR391C/YER043C/YPL231W/YGL205W/YIR033W/YEL071W/YHR037W/YFR055W/YMR272C/YLR044C/YLR231C/YIR023W/YCR005C/YJR009C/YML054C/YKL182W/YDR050C/YBR196C/YOL136C/YPL075W/YJL196C/YMR170C/YLR134W/YIR031C/YMR246W/YCL064C/YGR254W/YCL018W/YDR089W/YGL253W/YHR183W/YOL002C/YPR035W/YKR034W/YOL126C/YLR142W/YKL152C/YKL060C/YHR174W/YPL095C/YAL038W/YCR012W/YGR087C/YGL055W/YJL052W"
