"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1901136","GO:1901136","carbohydrate derivative catabolic process",56,-0.668562123311318,-2.51370122225125,3.02706757412249e-10,1.64828711778025e-08,1.282777702039e-08,769,"tags=43%, list=12%, signal=38%","YOL059W/YMR205C/YOR347C/YOL056W/YER005W/YGR192C/YGR240C/YOR344C/YLR446W/YDL021W/YER043C/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YGR254W/YGL253W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0055085","GO:0055085","transmembrane transport",477,-0.347864597843294,-1.75597639109846,5.67468702233381e-10,2.99339740428109e-08,2.32960835653704e-08,1128,"tags=33%, list=17%, signal=29%","YPR138C/YDR135C/YOR324C/YGL114W/YAL022C/YIL013C/YOL119C/YPR201W/YHR050W/YGL255W/YPR198W/YDL185W/YPL036W/YNL291C/YPR088C/YKR105C/YGL153W/YIL006W/YHL035C/YKR104W/YJL143W/YJL108C/YMR026C/YOL092W/YIL120W/YGR121C/YOR270C/YHR160C/YKL174C/YLR241W/YPL221W/YDR277C/YDL183C/YHR002W/YPR021C/YBR220C/YOR307C/YOR137C/YMR058W/YHL040C/YLR188W/YBL042C/YBR127C/YKL175W/YPR024W/YHR175W/Q0275/YBR021W/YIL121W/YLR220W/YIL090W/YBR132C/YHR096C/YLL015W/YOR328W/YKR103W/YFL055W/YGL254W/YJR106W/YPR128C/YAL053W/YOL044W/YMR279C/YER039C/YJL129C/YEL006W/YNL329C/YKL120W/YGR281W/YDR352W/YOR100C/YML116W/YEL064C/YFL054C/YPR058W/YBR043C/YEL027W/YDL138W/YCR028C/YGR217W/YOR092W/YML123C/YCR023C/YDL206W/YOL075C/YBR295W/YOR011W/YPR156C/YDR338C/YER060W/YOL137W/YCL038C/YIR028W/YNR055C/YCR037C/Q0045/YDR270W/YIL088C/YPR124W/YGR191W/Q0085/Q0250/YLR411W/YCR098C/YGL077C/YGL139W/YOL130W/YPL026C/YKL197C/YIL166C/YEL065W/YLR237W/YGR257C/YHR092C/YDR119W/YBR235W/YPL265W/YNL065W/YFL050C/YMR221C/YDR406W/YOR390W/YMR155W/YOR161C/YJL193W/YGR260W/YOR306C/Q0105/YGR138C/YPL274W/YGL008C/YER056C/YCR011C/YPR194C/YPR115W/YLR447C/YHL028W/YEL063C/YKR093W/YLR004C/YHL016C/YLR152C/YGL253W/YNL101W/YNL142W/YOR348C/YMR088C/YDL210W/YMR319C/YKR039W/YOL126C/YDR345C/YJL212C/YGR125W/YOR273C/YJR152W/YHR094C"
"GO:0043436","GO:0043436","oxoacid metabolic process",369,-0.378210664736527,-1.87015209315685,7.51046102755727e-10,3.8417146104596e-08,2.98981032293189e-08,739,"tags=26%, list=11%, signal=25%","YEL046C/YJL012C/YMR205C/YBR041W/YDR539W/YHR208W/YNL256W/YPL273W/YOR347C/YHR063C/YJR148W/YDL215C/YOR040W/YOL056W/YJR078W/YER061C/YPR128C/YFL004W/YGR192C/YJR024C/YIL020C/YBR006W/YML076C/YIL009W/YLL058W/YOR100C/YER010C/YKL106W/YLR351C/YML099C/YER040W/YGR256W/YJR019C/YDL015C/YML123C/YNR016C/YGR240C/YEL020C/YOR363C/YGL009C/YLR153C/YGL196W/YCR037C/YPL280W/YMR207C/YOR344C/YNL239W/YHR205W/YHR067W/YLR446W/YKR009C/YDL021W/YOR391C/YER043C/YPL231W/YGL205W/YIR033W/YEL071W/YHR037W/YFR055W/YMR272C/YLR044C/YLR231C/YIR023W/YCR005C/YJR009C/YML054C/YKL182W/YDR050C/YBR196C/YOL136C/YPL075W/YJL196C/YMR170C/YLR134W/YIR031C/YMR246W/YCL064C/YGR254W/YCL018W/YDR089W/YGL253W/YHR183W/YOL002C/YPR035W/YKR034W/YOL126C/YLR142W/YKL152C/YKL060C/YHR174W/YPL095C/YAL038W/YCR012W/YGR087C/YGL055W/YJL052W"
"GO:0072521","GO:0072521","purine-containing compound metabolic process",189,-0.463319358032937,-2.12781893894982,1.24596183558501e-09,6.18583405431617e-08,4.81411879507769e-08,838,"tags=35%, list=13%, signal=32%","YMR120C/YPR021C/YMR220W/YML126C/YOL059W/YAR015W/YEL041W/YBR127C/YMR205C/YBR145W/YJL005W/YPL273W/YER099C/YOR347C/YMR208W/YOL056W/YJR078W/YGR192C/YDL085W/YDR399W/YGR244C/YIL009W/YHR074W/YLR450W/YGR256W/YJR019C/YOL061W/YNR016C/YMR315W/YGR240C/YJR105W/YLR153C/YIR028W/YIR027C/Q0085/YMR207C/YKL181W/YOR344C/YLR446W/YDL021W/YER043C/YHR202W/YNL129W/YLR231C/YJR009C/YNR043W/YDL238C/YDR050C/YBR196C/YOL136C/YPL075W/YMR303C/YIR031C/YMR246W/YML075C/YGR254W/YGL253W/YOL086C/YHR183W/YJL116C/YNL141W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process",259,-0.411038778885851,-1.94951451111669,2.07433328469281e-09,1.0004213098747e-07,7.78576823848609e-08,919,"tags=31%, list=14%, signal=28%","YJR133W/YHL011C/YGR010W/YDR481C/YMR120C/YPR021C/YMR220W/YML126C/YOL059W/YAR015W/YEL041W/YBR127C/YMR205C/YBR145W/YJL005W/YOR336W/YPL273W/YER099C/YOR347C/YJR051W/YMR208W/YOL056W/YJR078W/YER005W/YGR192C/YDL085W/YDR399W/YGR244C/YLR014C/YBR242W/YIL009W/YHR074W/YGL101W/YLR450W/YGR256W/YJR019C/YMR271C/YOL061W/YNR016C/YMR315W/YGR240C/YJR105W/YLR153C/YIR028W/YIR027C/Q0085/YMR207C/YKL181W/YNR012W/YOR344C/YLR446W/YDL021W/YER043C/YCR026C/YHR202W/YNL129W/YLR231C/YJR009C/YNR043W/YDL238C/YDR050C/YBR196C/YOL136C/YPL075W/YMR303C/YIR031C/YMR246W/YML075C/YGR254W/YGL253W/YOL086C/YOR047C/YHR183W/YJL116C/YNL141W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0006090","GO:0006090","pyruvate metabolic process",46,-0.68692664782569,-2.47308260436185,2.3847057241969e-09,1.11816201734566e-07,8.70208404619218e-08,337,"tags=46%, list=5%, signal=44%","YGR240C/YLR153C/YOR344C/YLR446W/YDL021W/YFR055W/YLR044C/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YLR134W/YGR254W/YGL253W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0072526","GO:0072526","pyridine-containing compound catabolic process",34,-0.753725138778772,-2.52065760370937,2.96400236828401e-09,1.35222594531444e-07,1.0523684084263e-07,724,"tags=65%, list=11%, signal=58%","YMR205C/YOR347C/YOL056W/YGR192C/YGR240C/YOR344C/YLR446W/YDL021W/YHR202W/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YGR254W/YGL253W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0019752","GO:0019752","carboxylic acid metabolic process",352,-0.369817186746591,-1.8152376429049,7.9635842588703e-09,3.53750795499291e-07,2.7530618158089e-07,739,"tags=26%, list=11%, signal=24%","YEL046C/YMR205C/YBR041W/YDR539W/YHR208W/YNL256W/YPL273W/YOR347C/YHR063C/YJR148W/YDL215C/YOR040W/YOL056W/YJR078W/YER061C/YPR128C/YGR192C/YJR024C/YIL020C/YBR006W/YML076C/YIL009W/YLL058W/YOR100C/YER010C/YKL106W/YLR351C/YML099C/YGR256W/YJR019C/YDL015C/YNR016C/YGR240C/YEL020C/YOR363C/YGL009C/YLR153C/YGL196W/YPL280W/YMR207C/YOR344C/YNL239W/YHR205W/YHR067W/YLR446W/YKR009C/YDL021W/YOR391C/YER043C/YPL231W/YGL205W/YIR033W/YEL071W/YHR037W/YFR055W/YMR272C/YLR044C/YLR231C/YIR023W/YCR005C/YJR009C/YML054C/YKL182W/YDR050C/YBR196C/YOL136C/YPL075W/YJL196C/YMR170C/YLR134W/YIR031C/YMR246W/YCL064C/YGR254W/YCL018W/YGL253W/YHR183W/YOL002C/YPR035W/YOL126C/YLR142W/YKL152C/YKL060C/YHR174W/YPL095C/YAL038W/YCR012W/YGR087C/YGL055W/YJL052W"
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly",60,0.65295565565192,2.31888808673641,8.49707909473973e-09,3.67771013126171e-07,2.8621740108597e-07,1414,"tags=60%, list=22%, signal=47%","YDR529C/YML081C-A/YLL009C/YDR379C-A/YDR079W/YDR511W/YLR218C/YPL189C-A/YJR034W/YBR269C/YML129C/YIR024C/YBL059C-A/YBR024W/YLR295C/YKL137W/YJL062W-A/YKL053C-A/YBR120C/YER154W/YIL098C/YLR203C/YEL059C-A/YGL191W/YMR244C-A/YDR493W/YNR018W/YER058W/YPR140W/YDR231C/YJL180C/YDR381C-A/YML030W/YLR038C/YNL005C/YGR183C"
"GO:0006457","GO:0006457","protein folding",135,0.53087212518481,2.13391233831446,1.17285409946449e-08,4.94944429974015e-07,3.85189977929391e-07,658,"tags=28%, list=10%, signal=26%","YPL106C/YER103W/YLL026W/YOR020C/YBR072W/YMR186W/YJL034W/YDR258C/YPL240C/YGR142W/YGR211W/YHR176W/YLR216C/YDR171W/YJR045C/YBR169C/YOR027W/YAL005C/YNL007C/YFL014W/YKL195W/YDR363W-A/YGR285C/YKL073W/YML028W/YBR269C/YLR259C/YML130C/YKL117W/YFL016C/YFR041C/YOR232W/YCL043C/YNL135C/YDR214W/YIL027C/YOR288C/YLL024C"
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process",242,-0.394576777070498,-1.85894732044205,2.55180831964679e-08,1.05059815696677e-06,8.17626901904799e-07,919,"tags=31%, list=14%, signal=27%","YJR133W/YHL011C/YGR010W/YDR481C/YMR120C/YPR021C/YMR220W/YML126C/YOL059W/YAR015W/YEL041W/YBR127C/YMR205C/YBR145W/YJL005W/YOR336W/YER099C/YOR347C/YJR051W/YMR208W/YOL056W/YJR078W/YER005W/YGR192C/YDL085W/YDR399W/YGR244C/YLR014C/YBR242W/YIL009W/YHR074W/YGL101W/YLR450W/YGR256W/YJR019C/YMR271C/YOL061W/YNR016C/YMR315W/YGR240C/YJR105W/YLR153C/Q0085/YMR207C/YKL181W/YNR012W/YOR344C/YLR446W/YDL021W/YCR026C/YHR202W/YNL129W/YLR231C/YJR009C/YNR043W/YDR050C/YBR196C/YOL136C/YPL075W/YMR303C/YMR246W/YML075C/YGR254W/YGL253W/YOL086C/YHR183W/YJL116C/YNL141W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0042026","GO:0042026","protein refolding",30,0.761492587597631,2.35748571097522,3.00865459768891e-08,1.20919260973783e-06,9.41052866645554e-07,478,"tags=47%, list=7%, signal=43%","YPL106C/YER103W/YLL026W/YOR020C/YJL034W/YDR258C/YPL240C/YLR216C/YJR045C/YBR169C/YAL005C/YLR259C/YFL016C/YOR232W"
"GO:0006865","GO:0006865","amino acid transport",59,-0.616805948472956,-2.34201985331088,3.24056498658326e-08,1.27211016217501e-06,9.90018385129964e-07,916,"tags=46%, list=14%, signal=40%","YOL092W/YKL174C/YPR021C/YIL121W/YBR132C/YFL055W/YDR352W/YEL064C/YPR058W/YBR043C/YKL176C/YCL038C/YIL088C/YGR191W/YGL077C/YEL062W/YDR119W/YPL265W/YNL065W/YPL274W/YEL063C/YNL101W/YOR348C/YMR088C/YDL210W/YKR039W/YGR125W"
"GO:0006644","GO:0006644","phospholipid metabolic process",157,-0.457181758655119,-2.0557857550344,5.04794656805194e-08,1.93657586519811e-06,1.5071381140978e-06,1515,"tags=48%, list=23%, signal=37%","YJR110W/YNL106C/YBL039C/YGR170W/YPL076W/YPR113W/YJR013W/YDR319C/YML059C/YDR287W/YPL268W/YCL004W/YNL267W/YJL062W/YGR007W/YJL153C/YMR008C/YOR149C/YOR311C/YPL175W/YOL065C/YDR147W/YLR386W/YBR042C/YFL025C/YPL103C/YLR305C/YLR088W/YLR459W/YDR072C/YIL039W/YDR434W/YGR046W/YHL020C/YCR044C/YAL009W/YMR220W/YLL031C/YOR175C/YLR347C/YJL167W/YML126C/YOR109W/YNL264C/YNL054W/YIL002C/YMR013C/YHR123W/YHR190W/YDR017C/YMR208W/YPL031C/YLR240W/YDR284C/YLR133W/YGL142C/YGR149W/YNL169C/YHR046C/YDR123C/YBR029C/YKL212W/YNL087W/YCR017C/YKR070W/YCR068W/YPL206C/YCL052C/YPL110C/YER043C/YNL130C/YMR272C/YNR043W/YKR031C/YGR157W"
"GO:0008202","GO:0008202","steroid metabolic process",56,-0.613920448797615,-2.30825607478962,8.46047241963394e-08,3.1736172098538e-06,2.46986422917033e-06,1078,"tags=52%, list=17%, signal=44%","YLL012W/YLR228C/YER125W/YCR048W/YMR220W/YNL280C/YJL167W/YML126C/YNR019W/YNL264C/YHR190W/YMR208W/YLR189C/YGL012W/YLR450W/YMR202W/YHR001W/YLR100W/YPL028W/YNL111C/YHR072W/YNR043W/YGL001C/YGR175C/YLR056W/YHR007C/YML075C/YMR015C/YGR060W"
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process",85,-0.547020673712596,-2.22966866883251,1.03400061553956e-07,3.79433269354516e-06,2.9529353963235e-06,888,"tags=45%, list=14%, signal=39%","YGR010W/YDR481C/YPR021C/YOL059W/YEL041W/YMR205C/YBR145W/YOR347C/YOL056W/YJR078W/YGR192C/YDL085W/YHR074W/YGR256W/YMR315W/YGR240C/YOR344C/YLR446W/YDL021W/YHR202W/YNL129W/YLR231C/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YMR303C/YGR254W/YGL253W/YOL086C/YHR183W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0016126","GO:0016126","sterol biosynthetic process",42,-0.655510494217309,-2.3115781292703,1.22034232214458e-07,4.29153716620845e-06,3.33988425007992e-06,831,"tags=55%, list=13%, signal=48%","YMR220W/YNL280C/YJL167W/YML126C/YNL264C/YHR190W/YMR208W/YLR189C/YGL012W/YLR450W/YMR202W/YLR100W/YPL028W/YNL111C/YHR072W/YNR043W/YGL001C/YGR175C/YLR056W/YHR007C/YML075C/YMR015C/YGR060W"
"GO:0007006","GO:0007006","mitochondrial membrane organization",56,0.634046082533844,2.21700745192853,1.21320646608403e-07,4.29153716620845e-06,3.33988425007992e-06,1365,"tags=54%, list=21%, signal=43%","YOR045W/YDR322C-A/YHR005C-A/YCL057C-A/YNL070W/YOL027C/YEL020W-A/YNL121C/YJR135W-A/YBR262C/YKR016W/YLR099W-A/YLR295C/YPL063W/YPR133W-A/YER154W/YFR011C/YPR020W/YEL012W/YBR091C/YLR168C/YJR080C/YGR235C/YPR140W/YOR211C/YGR181W/YDR393W/YOL026C/YPL098C/YBR185C"
"GO:0002181","GO:0002181","cytoplasmic translation",167,0.480754298156092,1.9762741603911,1.31030120238935e-07,4.51385393802697e-06,3.51290204206639e-06,1704,"tags=45%, list=26%, signal=34%","YDL184C/YMR194W/YDR500C/YJR094W-A/YFR032C-A/YAL005C/YOR182C/YER131W/YML091C/YLR192C/YGR148C/YLR262C-A/YDR447C/YLR388W/YDL130W/YIL052C/YDL133C-A/YDL075W/YLR185W/YGL189C/YNL244C/YJR014W/YPL249C-A/YLR287C-A/YNL255C/YGL147C/YHR010W/YGR169C-A/YDL081C/YDR429C/YMR230W/YJL189W/YPL237W/YLR325C/YMR121C/YJL190C/YER074W/YPL009C/YGR085C/YER056C-A/YDL136W/YDL191W/YHR141C/YLR340W/YDR382W/YDL213C/YKR094C/YFR031C-A/YGL031C/YLR344W/YER117W/YDR471W/YBL092W/YGL049C/YOL039W/YGR027C/YIL137C/YOR293W/YPL079W/YOL120C/YKL006W/YAL035W/YDL061C/YNL096C/YEL054C/YML073C/YNL178W/YDR179C/YPR041W/YNL301C/YFL023W/YMR260C/YLR264W/YDR450W/YOL040C"
"GO:0046165","GO:0046165","alcohol biosynthetic process",86,-0.547605067948747,-2.24983640945199,1.39224876414813e-07,4.7002318277641e-06,3.65795043717236e-06,931,"tags=53%, list=14%, signal=46%","YMR083W/YDR287W/YPL268W/YGL256W/YJL153C/YDR081C/YML008C/YLR228C/YER125W/YDL080C/YDR315C/YMR220W/YNL280C/YJL167W/YML126C/YBR145W/YHR190W/YPR121W/YDR017C/YMR208W/YLR410W/YGL012W/YHR046C/YLR450W/YMR202W/YOR171C/YOL055C/YAL061W/YLR100W/YPL028W/YGR144W/YLR044C/YHR072W/YNR043W/YGL001C/YGR175C/YMR303C/YLR056W/YLR134W/YIL053W/YHR007C/YML075C/YOL086C/YMR015C/YGR060W/YGR087C"
"GO:0003333","GO:0003333","amino acid transmembrane transport",49,-0.637278500891243,-2.3353796368321,1.52379976055381e-07,5.04347842316632e-06,3.92508173616337e-06,692,"tags=45%, list=11%, signal=40%","YOL092W/YPR021C/YIL121W/YBR132C/YFL055W/YDR352W/YEL064C/YPR058W/YBR043C/YCL038C/YIL088C/YGR191W/YDR119W/YPL265W/YNL065W/YPL274W/YEL063C/YNL101W/YOR348C/YMR088C/YKR039W/YGR125W"
"GO:0007007","GO:0007007","inner mitochondrial membrane organization",37,0.698843370942588,2.26600678276648,1.78505731927863e-07,5.68523916026854e-06,4.42453134947314e-06,1365,"tags=62%, list=21%, signal=49%","YDR322C-A/YHR005C-A/YCL057C-A/YOL027C/YEL020W-A/YNL121C/YJR135W-A/YBR262C/YKR016W/YLR295C/YER154W/YFR011C/YPR020W/YBR091C/YLR168C/YJR080C/YGR235C/YPR140W/YOR211C/YGR181W/YDR393W/YPL098C/YBR185C"
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process",100,-0.5068600610419,-2.1080054540315,1.75501939046567e-07,5.68523916026854e-06,4.42453134947314e-06,906,"tags=40%, list=14%, signal=35%","YEL029C/YGR010W/YDR481C/YPR021C/YOL059W/YEL041W/YMR205C/YBR145W/YOR347C/YOL056W/YJR078W/YGR192C/YDL085W/YHR074W/YGR256W/YMR315W/YGR240C/YOR344C/YLR446W/YDL021W/YHR202W/YNL129W/YLR231C/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YMR303C/YGR254W/YGL253W/YOL086C/YOR047C/YHR183W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0070585","GO:0070585","protein localization to mitochondrion",74,0.589199412929339,2.17472692088267,2.06683158629729e-07,6.34329403212695e-06,4.93666185588328e-06,1397,"tags=45%, list=22%, signal=35%","YOR020C/YPL240C/YOR045W/YJR045C/YHR005C-A/YOR027W/YAL005C/YNL070W/YKL195W/YOL027C/YLR259C/YBL045C/YEL020W-A/YNL121C/YJR135W-A/YBR230C/YKR016W/YOR232W/YLR099W-A/YPL063W/YPR133W-A/YNR017W/YER154W/YER017C/YBR091C/YJL104W/YGR181W/YOL026C/YPL098C/YKR065C/YBR185C/YLR008C/YIL022W"
"GO:0072655","GO:0072655","establishment of protein localization to mitochondrion",74,0.589199412929339,2.17472692088267,2.06683158629729e-07,6.34329403212695e-06,4.93666185588328e-06,1397,"tags=45%, list=22%, signal=35%","YOR020C/YPL240C/YOR045W/YJR045C/YHR005C-A/YOR027W/YAL005C/YNL070W/YKL195W/YOL027C/YLR259C/YBL045C/YEL020W-A/YNL121C/YJR135W-A/YBR230C/YKR016W/YOR232W/YLR099W-A/YPL063W/YPR133W-A/YNR017W/YER154W/YER017C/YBR091C/YJL104W/YGR181W/YOL026C/YPL098C/YKR065C/YBR185C/YLR008C/YIL022W"
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",119,0.517338351185521,2.04473454627595,2.29857146292718e-07,6.92855112396623e-06,5.39213756716753e-06,1139,"tags=44%, list=18%, signal=37%","YPL106C/YPR103W/YHR027C/YDL007W/YBR169C/YFR004W/YAL005C/YIL075C/YBL041W/YNL007C/YDR363W-A/YBR101C/YGL011C/YFR010W/YFR052W/YGR253C/YGL048C/YOR261C/YNL155W/YDR394W/YHR200W/YOL038W/YJL144W/YBR158W/YGR048W/YOR157C/YOR257W/YGR135W/YDR054C/YFR050C/YBL058W/YLL024C/YDL126C/YDR219C/YML092C/YBR082C/YPL009C/YOR259C/YER012W/YBR172C/YDR255C/YEL012W/YGL116W/YER094C/YMR314W/YEL037C/YBR105C/YOR362C/YPR108W/YJL001W/YFR036W/YDL132W"
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process",86,-0.538802299719228,-2.21367022030235,3.04025612591836e-07,9.00342515885997e-06,7.00690608521904e-06,888,"tags=44%, list=14%, signal=39%","YGR010W/YDR481C/YPR021C/YOL059W/YEL041W/YMR205C/YBR145W/YOR347C/YOL056W/YJR078W/YGR192C/YDL085W/YHR074W/YGR256W/YMR315W/YGR240C/YOR344C/YLR446W/YDL021W/YHR202W/YNL129W/YLR231C/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YMR303C/YGR254W/YGL253W/YOL086C/YHR183W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0016125","GO:0016125","sterol metabolic process",54,-0.620992298256478,-2.32574668772082,3.13836321438986e-07,9.13371914808634e-06,7.10830724420788e-06,1078,"tags=54%, list=17%, signal=45%","YLL012W/YLR228C/YER125W/YCR048W/YMR220W/YNL280C/YJL167W/YML126C/YNR019W/YNL264C/YHR190W/YMR208W/YLR189C/YGL012W/YLR450W/YMR202W/YHR001W/YLR100W/YPL028W/YNL111C/YHR072W/YNR043W/YGL001C/YGR175C/YLR056W/YHR007C/YML075C/YMR015C/YGR060W"
"GO:0006626","GO:0006626","protein targeting to mitochondrion",66,0.593987766451312,2.14144001792406,4.13789125698555e-07,1.18385770199858e-05,9.21336001555392e-06,1397,"tags=47%, list=22%, signal=37%","YOR020C/YPL240C/YOR045W/YJR045C/YHR005C-A/YOR027W/YAL005C/YNL070W/YKL195W/YLR259C/YBL045C/YEL020W-A/YNL121C/YJR135W-A/YBR230C/YKR016W/YOR232W/YLR099W-A/YPL063W/YPR133W-A/YNR017W/YER154W/YER017C/YBR091C/YJL104W/YGR181W/YOL026C/YPL098C/YKR065C/YLR008C/YIL022W"
"GO:0006694","GO:0006694","steroid biosynthetic process",43,-0.64659752965231,-2.29603252985088,4.45118647073654e-07,1.25226712710055e-05,9.74575564119158e-06,831,"tags=53%, list=13%, signal=47%","YMR220W/YNL280C/YJL167W/YML126C/YNL264C/YHR190W/YMR208W/YLR189C/YGL012W/YLR450W/YMR202W/YLR100W/YPL028W/YNL111C/YHR072W/YNR043W/YGL001C/YGR175C/YLR056W/YHR007C/YML075C/YMR015C/YGR060W"
"GO:0008204","GO:0008204","ergosterol metabolic process",39,-0.664066706507711,-2.29354832818489,4.94166339292546e-07,1.32405203289812e-05,1.03044209095589e-05,1053,"tags=62%, list=16%, signal=52%","YLR228C/YER125W/YCR048W/YMR220W/YNL280C/YJL167W/YML126C/YNR019W/YHR190W/YMR208W/YGL012W/YLR450W/YMR202W/YLR100W/YPL028W/YHR072W/YNR043W/YGL001C/YGR175C/YLR056W/YHR007C/YML075C/YMR015C/YGR060W"
"GO:0016128","GO:0016128","phytosteroid metabolic process",39,-0.664066706507711,-2.29354832818489,4.94166339292546e-07,1.32405203289812e-05,1.03044209095589e-05,1053,"tags=62%, list=16%, signal=52%","YLR228C/YER125W/YCR048W/YMR220W/YNL280C/YJL167W/YML126C/YNR019W/YHR190W/YMR208W/YGL012W/YLR450W/YMR202W/YLR100W/YPL028W/YHR072W/YNR043W/YGL001C/YGR175C/YLR056W/YHR007C/YML075C/YMR015C/YGR060W"
"GO:0015711","GO:0015711","organic anion transport",120,-0.474985919370595,-2.05373366946597,4.89778801282514e-07,1.32405203289812e-05,1.03044209095589e-05,875,"tags=36%, list=14%, signal=32%","YKL174C/YPL221W/YHR002W/YPR021C/YMR034C/YBR220C/YOR307C/YMR275C/YBR041W/YPL084W/YIL121W/YLL015W/YOL147C/YPR128C/YAL053W/YJL078C/YKL120W/YEL064C/YPR058W/YBR043C/YCR028C/YIL088C/YGR191W/YCR098C/YGL077C/YGL139W/YIL166C/YJL079C/YGR257C/YEL062W/YPL265W/YNL065W/YPL002C/YJL193W/YGR260W/YOR306C/YEL063C/YMR246W/YNL101W/YOR348C/YDL210W/YKR039W/YJR152W"
"GO:0043248","GO:0043248","proteasome assembly",33,0.698906524649399,2.21444661824155,7.87053320515039e-07,2.07585313285842e-05,1.61553050000455e-05,1199,"tags=58%, list=19%, signal=47%","YMR186W/YPL240C/YPR103W/YDL007W/YFR004W/YIL075C/YBR173C/YDR363W-A/YDR427W/YGL048C/YDR394W/YHR200W/YGR135W/YFR050C/YOR259C/YKL206C/YDL110C/YDL097C/YOR117W"
"GO:0006458","GO:0006458","'de novo' protein folding",33,0.698711597580827,2.21382900261975,8.01234081205214e-07,2.08074327549908e-05,1.61933624833054e-05,453,"tags=36%, list=7%, signal=34%","YER103W/YLL026W/YOR020C/YJL034W/YPL240C/YGR211W/YJR045C/YAL005C/YNL007C/YGR285C/YLR259C/YFL016C"
"GO:1902653","GO:1902653","secondary alcohol biosynthetic process",37,-0.668340151640121,-2.28655991488194,8.7182208403216e-07,2.22975102703983e-05,1.73530137300181e-05,831,"tags=62%, list=13%, signal=54%","YLR228C/YER125W/YMR220W/YNL280C/YJL167W/YML126C/YHR190W/YMR208W/YGL012W/YLR450W/YMR202W/YAL061W/YLR100W/YPL028W/YHR072W/YNR043W/YGL001C/YGR175C/YLR056W/YHR007C/YML075C/YMR015C/YGR060W"
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds",167,0.462999102263495,1.90328649290731,9.31618812988823e-07,2.33701369287555e-05,1.81877842897773e-05,717,"tags=32%, list=11%, signal=30%","YMR145C/YFR015C/YMR002W/YPL271W/YPR191W/YDR529C/YER065C/YMR105C/YKL148C/YJR120W/YKL085W/YJR121W/YER067W/YOR065W/YFL018C/YPL262W/YLR258W/YNL037C/YOR178C/YBL030C/YJL166W/YEL011W/YMR030W/YNR001C/YEL039C/YBR010W/YER054C/YOR136W/YNR074C/YFR049W/YBL045C/YJL045W/YMR081C/YNL117W/YJR048W/YJL137C/YFR033C/YFR003C/YDR148C/YMR256C/YOR355W/YLR174W/YKR058W/YDL067C/YMR311C/YPR184W/YBL058W/YGL226W/YLR154W-C/YHR001W-A/YDR031W/YIL057C/YDR487C/YFR017C"
"GO:0034655","GO:0034655","nucleobase-containing compound catabolic process",233,-0.381756657653986,-1.78554157812893,9.4145101371764e-07,2.33701369287555e-05,1.81877842897773e-05,1117,"tags=30%, list=17%, signal=26%","YLR398C/YOL072W/YDR400W/YJL087C/YJL050W/YKR084C/YOR393W/YNL197C/YER125W/YDL102W/YMR116C/YLR233C/YOR001W/YJL209W/YDR315C/YOR330C/YPL042C/YDR481C/YLR363C/YDR370C/YMR080C/YGL094C/YBL055C/YOR166C/YMR205C/YBR170C/YOR347C/YNL112W/YOL056W/YDR293C/YER005W/YGR192C/YKR096W/YBR242W/YPR164W/YCR093W/YER049W/YJR091C/YIL151C/YGL101W/YAL021C/YDR206W/YPL029W/YPL123C/YJR119C/YGR240C/YBR212W/YBL105C/YPR042C/YGR122W/YNL023C/YOR344C/YLR446W/YDL021W/YER043C/YHR202W/YIR033W/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YGR254W/YGL253W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
